sender,receiver,dist
@ChrisTheCat,@lmlibrarian,1
@janicekung,@hs_librarian,1
@katzs44,@hurstej,1
@VPannabecker,@meganthreats,1
@krafty,@hurstej,4
@akaur0,@csoehner,1
@wonderbrarian,@hurstej,1
@wonderbrarian,@janicekung,1
@meansell,@csoehner,1
@evardell,@pfanderson,1
@mbbassdrlib,@123pow,1
@billchase2edu,@meganthreats,1
@bobbinewman,@hurstej,2
@LMLibrarian,@akaur0,1
@LMLibrarian,@medlibassn,1
@Annaburl,@hurstej,1
@wichor,@visualdx,1
@mifisi,@lisalibrarian,1
@mifisi,@futuredocs,4
@margotmal,@hurstej,1
@katemsaylor,@wichor,1
@wichor,@billchase2edu,1
@VPannabecker,@ajaggers324,1
@elenaazad,@csoehner,1
@bobbinewman,@medlibassn,1
@wichor,@pfanderson,27
@akaur0,@libraryatnight,1
@akaur0,@wichor,6
@pfanderson,@rachel_w,2
@akaur0,@janicekung,3
@wichor,@chicalibrarian,2
@wichor,@berrymand,1
@nucholab,@lisalibrarian,1
@katemsaylor,@pfanderson,1
@pfanderson,@mehlibrarian,1
@pfanderson,@evardell,2
@almaderdouglas,@evardell,1
@nucholab,@christhecat,1
@katzs44,@evardell,1
@almaderdouglas,@lisam695,1
@ChrisTheCat,@z669_e9,1
@pageaslibrary,@alexjcarroll,1
@akaur0,@ajaggers324,1
@akaur0,@evardell,4
@Librarian5ever,@batternberries,1
@akaur0,@lisalibrarian,1
@pfanderson,@cddslib,4
@hurstej,@cddslib,1
@brenda_linares,@evardell,3
@ChrisTheCat,@lisalibrarian,1
@HS_Librarian,@123pow,1
@pfanderson,@ajaggers324,4
@ChrisTheCat,@evardell,3
@AWMuseum,@librarianwalker,1
@AWMuseum,@awmuseum,1
@LuLu_219,@pfanderson,3
@LuLu_219,@berrymand,1
@ChrisTheCat,@hurstej,4
@pat_devine,@jimeddypa,1
@elenaazad,@janicekung,1
@meansell,@berrymand,1
@LMLibrarian,@berrymand,1
@VPannabecker,@itskelsab,1
@LuLu_219,@christhecat,1
@VPannabecker,@openpeonie,1
@VPannabecker,@christhecat,5
@Claritybear,@margotmal,1
@VPannabecker,@ucdavislibrary,1
@rachel_w,@cddslib,1
@VPannabecker,@annaburl,2
@evardell,@margotmal,1
@NUCATSInstitute,@kristiholmes,1
@NUCATSInstitute,@galterlibrary,1
@NUCATSInstitute,@nufeinbergmed,1
@NUCATSInstitute,@nucatsinstitute,1
@pfanderson,@margotmal,2
@CDDSlib,@libris_fidelis,1
@bobbinewman,@libris_fidelis,2
@LibrarianWalker,@woodyguthriectr,1
@bobbinewman,@jcorpse,1
@HW_Hobbies,@lisafederer,1
@rachel_w,@meansell,1
@rachel_w,@medlibassn,1
@MeganThreats,@evardell,1
@symphorians1,@ajaggers324,1
@pfanderson,@comicnurse,1
@laurissagann,@itsmerubylee_76,1
@meansell,@ajaggers324,2
@kglibrarian,@evardell,1
@meansell,@medlibassn,1
@AJaggers324,@evardell,1
@TimGalvin1,@visualdx,3
@hurstej,@evardell,1
@elenaazad,@mandosally,1
@SarahKohlMD,@pfanderson,1
@SarahKohlMD,@umich,1
@SarahKohlMD,@andrewmibr,1
@nnlmmcr,@ms_elainious,2
@elenaazad,@pfanderson,1
@billchase2edu,@evardell,1
@billchase2edu,@christhecat,2
@meansell,@123pow,1
@LMLibrarian,@christhecat,1
@theHCCA,@hccapublication,1
@theHCCA,@thehcca,1
@AJaggers324,@christhecat,1
@joditha78,@mlrethlefsen,1
@joditha78,@ufhscl,1
@AJaggers324,@lmlibrarian,1
@elenaazad,@hurstej,3
@wichor,@christhecat,2
@BerrymanD,@jfsollen,1
@InfoCybrarian,@ucdavislibrary,1
@akaur0,@123pow,2
@billchase2edu,@oxpeter,1
@wonderbrarian,@referencediva,2
@katemsaylor,@mandosally,1
@wonderbrarian,@kdnyhan,1
@LMLibrarian,@123pow,1
@wichor,@hannaschmillen,1
